20	420695101
##20	420695101
E5	111514721
##E5	111514721
E6	67789785
##E6	67789785
E7	54001808
##E7	54001808
E4	43577451
##E4	43577451
E8	39375192
##E8	39375192
80	33102406
##80	33102406
BC	31551544
##BC	31551544
E9	30636194
##E9	30636194
8C	29621825
##8C	29621825
B8	25462956
##B8	25462956
BA	25199009
##BA	25199009
EF	22547998
##EF	22547998
9C	20846349
##9C	20846349
88	18257543
##88	18257543
9A	17666320
##9A	17666320
82	17104089
##82	17104089
E3	16663298
##E3	16663298
BB	16565947
##BB	16565947
89	15995348
##89	15995348
84	15054806
##84	15054806
8D	14871477
##8D	14871477
8B	14822438
##8B	14822438
B9	14409409
##B9	14409409
0A	14093164
##0A	14093164
AD	13589225
##AD	13589225
8F	13464943
##8F	13464943
81	13402216
##81	13402216
B0	13321523
##B0	13321523
AF	13059162
##AF	13059162
85	12857808
##85	12857808
96	12833585
##96	12833585
9B	12684027
##9B	12684027
A8	12620290
##A8	12620290
BD	12618386
##BD	12618386
87	11735478
##87	11735478
94	11668677
##94	11668677
A5	11391183
##A5	11391183
B4	11378756
##B4	11378756
BE	11265048
##BE	11265048
90	11032799
##90	11032799
97	10514686
##97	10514686
8A	10450617
##8A	10450617
AE	10217780
##AE	10217780
B1	10151327
##B1	10151327
8E	10064737
##8E	10064737
BF	10040026
##BF	10040026
9F	9928926
##9F	9928926
B7	9713437
##B7	9713437
A4	9681854
##A4	9681854
99	9562339
##99	9562339
98	9396240
##98	9396240
A1	8871226
##A1	8871226
86	8853381
##86	8853381
83	8735251
##83	8735251
A6	8635467
##A6	8635467
A7	8594214
##A7	8594214
B3	8531585
##B3	8531585
95	8188135
##95	8188135
B6	7959808
##B6	7959808
AC	7750203
##AC	7750203
9D	7501442
##9D	7501442
91	7046169
##91	7046169
AB	7044188
##AB	7044188
B2	6947101
##B2	6947101
A3	6694557
##A3	6694557
A0	6637840
##A0	6637840
A9	6490952
##A9	6490952
31	6380618
##31	6380618
A2	5901041
##A2	5901041
93	5872078
##93	5872078
9E	5459865
##9E	5459865
AA	5454260
##AA	5454260
